px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
2.08242	16.54	4.9307	4.03944	0.387431	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	4.98005	R
1.9276	16.3097	4.96691	4.06767	0.396814	1.88972	16.1054	1.91027	16.2539	-3.21219	-3.94216	2.25496	L
1.77115	16.1338	4.92382	4.07133	0.368527	1.74363	16.2687	1.75112	16.0557	-3.15656	-3.99261	1.03661	R
1.56553	15.9655	4.95906	4.06009	0.333543	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	1.73412	L
1.43838	15.7342	5.00983	4.10291	0.377844	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	2.06581	R
1.26551	15.5162	5.05344	4.1132	0.367067	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	0.797514	L
1.10878	15.3234	5.04076	4.11866	0.348166	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	0.971136	R
0.896336	15.105	5.12263	4.11077	0.317344	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	2.36576	L
0.749653	14.9247	5.06045	4.10997	0.286975	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	2.47356	R
0.648321	14.7103	5.0258	4.14075	0.306493	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	0.51462	L
0.535894	14.4689	5.06806	4.17837	0.343011	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	1.78737	R
0.361698	14.2467	5.1168	4.17829	0.322243	0.253435	14.2028	0.440459	14.1696	-2.67925	-4.37181	0.839723	L
0.239434	13.9944	5.2003	4.21537	0.363705	-0.0328025	13.9604	0.307779	13.9502	-2.62984	-4.40617	3.07303	R
0.226084	13.7459	5.12011	4.27974	0.41882	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909	3.75199	L
0.122399	13.503	5.16204	4.30812	0.435103	0.0524417	13.6377	0.0497099	13.5065	-2.53381	-4.47061	0.972942	R
