px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.351	-5.3788	-2.70453	-2.63303	-0.108844	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.161924	L
9.44145	-5.27016	-2.65126	-2.57662	-0.0118092	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	6.39406	R
9.56372	-5.17841	-2.6603	-2.56916	-0.0039272	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.129767	L
9.6635	-5.07801	-2.62807	-2.52832	0.0623727	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	3.2604	R
9.77869	-4.98033	-2.63601	-2.51597	0.0709318	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.158236	L
9.87279	-4.8708	-2.60962	-2.46978	0.137212	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	2.82314	R
9.98075	-4.77266	-2.61191	-2.45642	0.142704	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.0789146	L
10.0622	-4.65019	-2.58751	-2.399	0.217276	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	3.23481	R
10.1638	-4.52985	-2.60451	-2.37331	0.230166	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.37952	L
10.2487	-4.40717	-2.59736	-2.32926	0.275579	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	1.20624	R
